candidate_id,job_id,score,skills_match,experience_score,project_score,label
1001,2,55.8,0.0,30.0,21.5,average fit
1002,7,61.8,0.0,30.0,29.1,average fit
1003,3,54.0,18.9,12.1,24.0,average fit
1003,8,35.0,6.3,7.2,18.2,poor fit
1003,1,29.9,2.7,11.3,17.5,poor fit
1004,10,39.8,0.9,30.0,11.9,poor fit
1005,5,47.4,1.6,30.0,15.5,good fit
1005,3,45.2,0.0,30.0,11.7,poor fit
1006,7,49.2,1.7,30.0,15.9,good fit
1006,3,51.5,0.2,30.0,20.9,average fit
1007,4,40.5,0.0,30.0,12.2,poor fit
1007,6,46.1,0.0,30.0,12.7,good fit
1007,8,58.3,0.0,30.0,28.3,average fit
1008,3,42.3,2.0,10.2,25.5,poor fit
1008,10,33.4,2.2,9.5,25.5,poor fit
1008,6,29.2,0.0,4.9,22.2,poor fit
1009,3,41.7,0.0,30.0,16.1,poor fit
1009,6,44.8,0.2,30.0,12.3,average fit
1009,9,53.6,0.4,30.0,27.3,average fit
1010,7,76.1,19.1,30.0,22.2,good fit
1011,1,54.3,4.2,30.0,24.0,average fit
1012,8,44.6,2.3,30.0,10.4,poor fit
1013,5,55.4,0.0,30.0,25.0,average fit
1013,7,53.1,2.2,30.0,22.6,average fit
1014,6,55.8,6.8,20.4,24.2,average fit
1014,8,50.7,4.5,30.0,13.4,average fit
1015,3,51.8,0.0,30.0,18.6,poor fit
1016,5,57.1,2.1,30.0,21.1,average fit
1016,3,57.1,2.4,30.0,27.7,average fit
1017,1,58.0,1.5,30.0,22.7,poor fit
1018,4,16.6,1.5,2.1,13.5,poor fit
1018,7,29.2,2.8,0.0,29.5,average fit
1018,3,36.4,18.2,0.0,22.2,poor fit
1019,8,18.9,2.8,0.0,13.7,poor fit
1019,10,31.4,0.0,1.7,25.3,average fit
1020,7,22.2,0.0,0.0,23.0,poor fit
1020,3,28.9,0.5,0.0,28.0,poor fit
1020,4,24.3,0.0,2.2,22.4,poor fit
1021,6,53.3,6.4,30.0,12.2,poor fit
1021,8,48.5,0.9,30.0,16.0,good fit
1021,7,50.6,8.7,30.0,13.0,poor fit
1022,8,47.1,0.0,30.0,13.4,average fit
1022,5,53.2,0.0,30.0,22.3,average fit
1022,7,54.7,0.0,30.0,23.4,average fit
1023,3,52.4,0.0,30.0,27.2,average fit
1023,8,58.4,1.6,30.0,21.8,average fit
1024,5,51.0,29.3,0.0,21.2,average fit
1025,3,49.3,1.1,30.0,17.0,average fit
1025,7,85.1,26.0,30.0,26.1,good fit
1025,4,59.1,5.5,30.0,19.2,average fit
1026,10,41.4,0.5,30.0,12.1,poor fit
1026,9,56.8,4.3,30.0,25.8,poor fit
1027,1,49.1,2.3,30.0,13.4,average fit
1028,2,45.8,0.0,30.0,17.9,average fit
1028,6,63.6,15.4,30.0,20.7,good fit
1029,5,36.4,0.0,18.0,21.5,poor fit
1030,6,48.2,0.0,30.0,20.8,average fit
1030,8,42.6,2.0,30.0,12.1,poor fit
1030,9,60.0,0.0,30.0,25.8,average fit
1031,3,55.3,1.1,30.0,25.2,poor fit
1032,7,62.7,17.7,30.0,10.3,average fit
1032,3,43.5,0.3,30.0,13.8,average fit
1032,8,54.3,2.9,30.0,21.4,good fit
1033,8,65.6,17.1,30.0,19.4,average fit
1034,7,55.9,3.4,30.0,18.6,average fit
1035,1,58.2,2.5,30.0,29.4,average fit
1036,10,66.3,6.6,30.0,29.1,poor fit
1036,3,49.8,12.6,30.0,10.8,average fit
1037,6,36.0,9.1,8.4,18.7,poor fit
1037,10,25.7,0.0,11.0,13.6,poor fit
1037,2,44.9,0.8,30.0,18.8,poor fit
1038,2,52.0,0.0,30.0,23.7,good fit
1039,6,53.8,0.0,30.0,26.5,average fit
1040,10,56.6,8.6,30.0,15.7,average fit
1040,8,65.5,22.0,30.0,11.1,good fit
1041,5,19.7,2.7,3.4,11.4,average fit
1041,4,23.6,6.6,1.1,19.3,poor fit
1042,6,45.4,0.3,30.0,16.9,average fit
1042,3,47.9,0.0,30.0,16.1,good fit
1043,7,57.8,0.0,30.0,29.5,average fit
1043,6,44.5,0.0,30.0,11.0,poor fit
1044,9,45.8,0.0,30.0,16.1,good fit
1044,1,49.1,0.0,30.0,18.8,good fit
1045,5,35.1,0.0,17.3,19.2,average fit
1046,7,50.2,0.4,30.0,15.8,average fit
1046,1,40.6,0.0,30.0,14.4,poor fit
1047,9,19.4,1.7,1.5,14.8,average fit
1047,7,19.8,0.0,0.0,19.5,average fit
1048,5,69.7,20.3,30.0,19.6,poor fit
1048,9,43.4,5.3,30.0,11.3,poor fit
1048,4,60.8,0.0,30.0,28.5,poor fit
1049,6,47.5,0.1,30.0,21.3,average fit
1049,9,52.3,0.0,30.0,19.9,average fit
1049,2,68.3,20.8,30.0,21.8,average fit
1050,2,55.4,0.0,30.0,21.5,average fit
1050,3,55.8,2.8,30.0,22.2,good fit
1051,1,50.9,0.0,30.0,21.1,average fit
1052,2,50.8,0.0,30.0,24.2,average fit
1052,3,74.3,19.5,30.0,28.1,good fit
1052,8,56.1,7.6,30.0,16.0,good fit
1053,3,41.4,1.3,20.7,18.8,average fit
1053,4,43.6,2.3,18.6,24.2,average fit
1053,2,38.9,1.5,30.0,11.0,poor fit
1054,2,62.8,1.4,30.0,27.9,poor fit
1054,7,56.9,0.0,30.0,22.8,average fit
1054,6,49.6,0.0,30.0,21.6,poor fit
1055,3,37.2,1.9,12.3,25.9,average fit
1055,8,25.5,0.1,9.1,20.5,poor fit
1055,5,53.2,9.7,15.0,25.0,average fit
1056,2,50.2,0.0,30.0,19.8,poor fit
1057,3,70.5,27.1,30.0,10.5,average fit
1057,9,68.0,7.8,30.0,26.9,average fit
1058,4,66.3,4.9,30.0,27.2,average fit
1059,3,43.1,1.7,16.7,26.6,average fit
1060,10,65.9,8.2,30.0,25.0,average fit
1060,7,52.1,1.0,30.0,24.9,average fit
1061,4,27.9,0.0,3.7,20.7,poor fit
1061,9,15.5,0.9,0.0,12.4,poor fit
1062,1,66.5,6.9,30.0,26.0,average fit
1063,1,48.1,0.0,30.0,16.0,average fit
1063,7,55.7,0.0,30.0,25.7,average fit
1063,2,79.2,25.3,30.0,23.8,good fit
1064,10,42.7,18.3,0.0,22.4,poor fit
1064,2,32.8,2.9,3.8,26.8,average fit
1065,8,69.3,14.7,28.0,23.0,average fit
1065,5,50.7,0.0,30.0,16.9,average fit
1066,10,37.2,0.0,30.0,10.9,poor fit
1067,7,57.5,0.0,30.0,27.1,good fit
1067,8,60.5,4.3,30.0,28.3,average fit
1068,8,53.2,3.5,26.5,24.1,average fit
1068,10,62.2,9.7,22.2,29.0,average fit
1069,6,47.8,1.9,30.0,18.2,poor fit
1070,7,47.3,0.0,30.0,20.9,average fit
1071,3,52.7,0.0,30.0,18.4,average fit
1071,10,50.2,0.8,30.0,19.1,average fit
1071,9,59.8,7.5,30.0,21.5,average fit
1072,8,75.5,13.6,30.0,28.3,good fit
1073,5,52.7,0.0,30.0,20.1,good fit
1073,4,56.4,5.4,30.0,16.4,good fit
1073,9,62.4,7.7,30.0,20.8,average fit
1074,6,45.1,0.0,30.0,10.4,poor fit
1075,8,43.8,2.9,12.3,25.2,average fit
1075,5,26.1,1.6,11.3,16.1,poor fit
1076,8,57.8,7.4,30.0,21.0,poor fit
1076,1,55.7,5.0,30.0,18.1,poor fit
1077,10,53.3,0.0,30.0,22.1,poor fit
1077,7,62.2,0.0,30.0,27.5,average fit
1078,6,38.7,0.0,30.0,13.3,poor fit
1078,3,59.0,0.0,30.0,27.9,average fit
1079,7,50.9,0.0,30.0,25.2,good fit
